start_time_iso=2026-06-03T18:26:58.090
time_sec,Endo_mm,Trans_mm,Epi_mm
458.801,247.269921875,243.671875,236.60234375
458.901,247.17304687499998,243.584375,236.52734375
459.001,247.06718750000002,243.49375,236.44609375
459.101,246.95781250000002,243.39374999999998,236.36171875
459.2,246.8421875,243.290625,236.27421875
459.301,246.7203125,243.18437500000002,236.17734374999998
459.401,246.592578125,243.07500000000002,236.08085937500002
459.501,246.461328125,242.959375,235.977734375
459.6,246.323828125,242.84062500000002,235.871484375
459.7,246.17695312499998,242.715625,235.758984375
459.801,246.02421875,242.578515625,235.640234375
459.9,245.86796875,242.444140625,235.51835937500002
460.0,245.70234374999998,242.300390625,235.390234375
460.101,245.537109375,242.153515625,235.258984375
460.201,245.362109375,242.000390625,235.12460937499998
460.301,245.18710937499998,241.84101562499998,234.987109375
460.401,245.00312499999998,241.67851562500002,234.846875
460.501,244.8125,241.51015625,234.7
460.601,244.61875,241.34140625,234.553125
460.7,244.422265625,241.16953125,234.4
460.801,244.212890625,240.98828125,234.24375
460.901,244.003515625,240.80078125,234.08124999999998
461.001,243.78828124999998,240.61015625000002,233.9125
461.1,243.56953125,240.41679687500002,233.740625
461.202,243.338671875,240.21054687499998,233.556640625
461.301,243.113671875,240.01054687500002,233.378515625
461.401,242.87929687500002,239.80429687499998,233.203515625
461.501,242.63828125,239.591796875,233.016015625
461.601,242.39453125,239.3734375,232.82539062499998
461.701,242.14765625,239.1546875,232.634765625
461.8,241.894140625,238.9328125,232.437890625
461.9,241.634765625,238.7046875,232.23515625
462.0,241.375390625,238.4734375,232.03515625
462.101,241.103125,238.236328125,231.82578125
462.201,240.83124999999998,237.992578125,231.61015625000002
462.301,240.558984375,237.75507812499998,231.39765625
462.401,240.262109375,237.492578125,231.16328124999998
462.5,239.99648437500002,237.25859375,230.960546875
462.601,239.70234374999998,237.00234375000002,230.738671875
462.701,239.40859375000002,236.73984375,230.507421875
462.8,239.111328125,236.48671875,230.285546875
462.901,238.808203125,236.22109375,230.051171875
463.001,238.50156249999998,235.94921875,229.81367187499998
463.1,238.1984375,235.67734374999998,229.5765625
463.2,237.8890625,235.40234375,229.33281250000002
463.3,237.573046875,235.123828125,229.0859375
463.401,237.251171875,234.83945312499998,228.8359375
463.501,236.92890624999998,234.55507812500002,228.5859375
463.6,236.60703124999998,234.270703125,228.3359375
463.7,236.27578125000002,233.976953125,228.0765625
463.8,235.94453125,233.68632812500002,227.82695312500002
463.907,235.58203125,233.370703125,227.548828125
464.001,235.26953125,233.09257812500002,227.308203125
464.101,234.92890625,232.789453125,227.042578125
464.2,234.58515625,232.48945312499998,226.776953125
464.301,234.23515625,232.173828125,226.495703125
464.401,233.88515625,231.8765625,226.23359374999998
464.501,233.53203125,231.5671875,225.96171875000002
464.601,233.17890625,231.2484375,225.68046875
464.701,232.82578125,230.9359375,225.41171874999998
464.804,232.45390625000002,230.60468749999998,225.12421874999998
464.901,232.10703125,230.2984375,224.85546875
465.0,231.74765624999998,229.9828125,224.577734375
465.1,231.38203125,229.6578125,224.293359375
465.201,231.01328125,229.3265625,224.00273437500002
465.3,230.64453125,229.0109375,223.724609375
465.401,230.27265625,228.6828125,223.433984375
465.501,229.898046875,228.35468749999998,223.143359375
465.6,229.5171875,228.0203125,222.84609375
465.7,229.15156249999998,227.69843749999998,222.56171875
465.8,228.77695312499998,227.3671875,222.27109375
465.9,228.39921875,227.03281249999998,221.97734375
466.002,228.01484375,226.6953125,221.68046875
466.1,227.640234375,226.3640625,221.38671875
466.201,227.25625,226.0265625,221.09296875
466.3,226.875390625,225.6859375,220.79921875
466.401,226.491015625,225.3484375,220.505078125
466.501,226.10703125,225.0140625,220.208203125
466.6,225.726171875,224.67343749999998,219.911328125
466.702,225.33554687499998,224.33281250000002,219.60820312500002
466.801,224.9578125,223.9984375,219.314453125
466.9,224.580078125,223.6640625,219.02070312499998
467.001,224.19296875,223.3203125,218.720703125
467.101,223.80546875,222.97968749999998,218.4203125
467.2,223.421484375,222.6421875,218.1265625
467.301,223.037109375,222.2984375,217.8265625
467.4,222.65312500000002,221.9515625,217.51718749999998
467.5,222.275,221.6265625,217.23281250000002
467.601,221.887890625,221.2859375,216.93242187500002
467.701,221.506640625,220.9515625,216.635546875
467.801,221.11953125,220.611328125,216.33203125
467.901,220.738671875,220.273828125,216.04453125
468.0,220.360546875,219.942578125,215.75703125
468.101,219.9765625,219.601953125,215.459765625
468.201,219.5984375,219.267578125,215.162890625
468.302,219.220703125,218.93007812500002,214.866015625
468.401,218.848828125,218.60820312500002,214.58125
468.5,218.47109375000002,218.276953125,214.290625
468.601,218.09609375,217.948828125,213.990625
468.701,217.721484375,217.617578125,213.715234375
468.8,217.355859375,217.295703125,213.430859375
468.9,216.98984375,216.97109375000002,213.14609374999998
469.001,216.61796875,216.63359375,212.85234375000002
469.1,216.25546875,216.32421875,212.58046875
469.201,215.889453125,215.99921875,212.29570312500002
469.301,215.526953125,215.680859375,212.017578125
469.401,215.170703125,215.368359375,211.736328125
469.5,214.8203125,215.05898437500002,211.4609375
469.6,214.4609375,214.74375,211.1796875
469.701,214.11406250000002,214.4375,210.91132812499998
469.801,213.763671875,214.128125,210.642578125
469.901,213.41367187499998,213.819140625,210.37421875
470.0,213.07304687500002,213.516015625,210.11171875000002
470.1,212.73203125,213.212890625,209.849609375
470.201,212.39140625,212.906640625,209.57500000000002
470.301,212.05703125,212.61953125,209.32500000000002
470.4,211.72890625,212.32890625000002,209.06914062500002
470.501,211.397265625,212.03828124999998,208.81328125000002
470.603,211.059765625,211.74140625,208.54765625
470.701,210.744140625,211.46054687499998,208.30742187500002
470.8,210.42851562500002,211.182421875,208.06367187499998
470.901,210.112890625,210.904296875,207.8171875
471.001,209.800390625,210.632421875,207.5734375
471.101,209.49375,210.36015625000002,207.33945312499998
471.2,209.19375000000002,210.09765625,207.10859374999998
471.301,208.88750000000002,209.82890625,206.87109375
471.402,208.584375,209.56015624999998,206.63398437499998
471.5,208.296875,209.30703125,206.415234375
471.601,208.003125,209.050390625,206.19062499999998
471.7,207.721875,208.797265625,205.96875
471.801,207.4375,208.553515625,205.756640625
471.9,207.165625,208.312890625,205.544140625
472.0,206.896875,208.07539062499998,205.33828125
472.101,206.625,207.834375,205.12578125
472.202,206.3625,207.603125,204.919921875
472.3,206.108984375,207.38125,204.71992187499998
472.402,205.852734375,207.153125,204.51679687499998
472.501,205.605859375,206.93437500000002,204.32578125
472.601,205.362109375,206.71875,204.13828125
472.702,205.118359375,206.502734375,203.95078124999998
472.801,204.887109375,206.296484375,203.77265624999998
472.9,204.655859375,206.096484375,203.59453125
473.001,204.43125,205.896484375,203.41914062499998
473.102,204.209375,205.702734375,203.250390625
473.201,203.994140625,205.518359375,203.084765625
473.3,203.78828125,205.33359374999998,202.925390625
473.401,203.58203125,205.15234375,202.76250000000002
473.501,203.379296875,204.97109375,202.609375
473.603,203.179296875,204.79609374999998,202.453125
473.7,202.9984375,204.63671875,202.3125
473.801,202.8140625,204.47734375000002,202.171875
473.9,202.63945312500002,204.32421875,202.03437499999998
474.001,202.464453125,204.17109375,201.899609375
