Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
77,7.7,0.096736,-0.07101,0.064051,-0.052249,-0.081067,0.057592,0.022243,-0.076039,0.060822,-0.004531,-0.165439,0.145003,0.030252,-0.16094,0.144451,0.000375,-0.165455,0.096931,0.026785,-0.166913,0.096011
78,7.8,0.096716,-0.070721,0.064082,-0.0522,-0.080826,0.057615,0.022258,-0.075774,0.060849,-0.004559,-0.16538,0.145038,0.03029,-0.160873,0.143898,0.000373,-0.16542,0.096857,0.027259,-0.167027,0.095942
79,7.9,0.096718,-0.070529,0.064104,-0.051922,-0.080006,0.057763,0.022398,-0.075267,0.060933,-0.004621,-0.165452,0.144947,0.030334,-0.160907,0.143899,0.000449,-0.165398,0.096361,0.027334,-0.167,0.095452
80,8,0.096682,-0.070681,0.064027,-0.05218,-0.080877,0.057613,0.022251,-0.075779,0.06082,-0.004561,-0.165461,0.144959,0.030772,-0.160989,0.143442,0.000392,-0.165409,0.096372,0.027245,-0.167088,0.095955
81,8.1,0.096684,-0.070538,0.064107,-0.052167,-0.080828,0.057559,0.022258,-0.075683,0.060833,-0.004576,-0.165444,0.144989,0.030776,-0.160968,0.143443,0.000411,-0.165392,0.096364,0.028216,-0.167354,0.095976
82,8.2,0.096645,-0.070384,0.064104,-0.052218,-0.080918,0.057606,0.022213,-0.075651,0.060855,-0.00458,-0.165474,0.144949,0.030755,-0.161013,0.143443,0.000373,-0.165426,0.096374,0.027701,-0.167253,0.095966
83,8.3,0.096664,-0.070495,0.064124,-0.052255,-0.081078,0.057569,0.022204,-0.075786,0.060846,-0.004574,-0.165442,0.144973,0.03075,-0.160976,0.143473,0.000375,-0.165399,0.0964,0.027228,-0.167079,0.095985
84,8.4,0.096795,-0.071401,0.063943,-0.052209,-0.080984,0.057551,0.022293,-0.076192,0.060747,-0.004561,-0.165398,0.144978,0.030764,-0.160967,0.143438,0.000362,-0.165449,0.096859,0.02728,-0.166985,0.095457
85,8.5,0.096774,-0.07134,0.063958,-0.052137,-0.080768,0.057622,0.022319,-0.076054,0.06079,-0.004567,-0.165404,0.144971,0.030752,-0.161021,0.143502,0.000374,-0.16546,0.096432,0.027259,-0.167071,0.095525
86,8.6,0.096755,-0.071279,0.063945,-0.052242,-0.081101,0.057542,0.022256,-0.07619,0.060743,-0.002782,-0.162707,0.144444,0.030767,-0.161024,0.143441,0.000967,-0.164577,0.096459,0.027748,-0.167199,0.095473
